Location,Current_Date,HCHO_reading,LATITUDE,LONGITUDE,ELEVATION,Precipitation,Average_Temperature
Nuwara Eliya Proper,2022-08-18,1.718720564421172e-05,6.967,80.767,1880.0,0.09,62
Nuwara Eliya Proper,2022-08-19,1.718720564421172e-05,6.967,80.767,1880.0,0.36,63
Nuwara Eliya Proper,2022-08-20,-3.319407071975458e-05,6.967,80.767,1880.0,0.0,62
Nuwara Eliya Proper,2022-08-21,-3.319407071975458e-05,6.967,80.767,1880.0,0.0,61
Nuwara Eliya Proper,2022-08-22,-3.319407071975458e-05,6.967,80.767,1880.0,0.15,59
Nuwara Eliya Proper,2022-08-23,-3.319407071975458e-05,6.967,80.767,1880.0,0.78,59
Nuwara Eliya Proper,2022-08-24,-3.319407071975458e-05,6.967,80.767,1880.0,0.15,59
Nuwara Eliya Proper,2022-08-25,-3.319407071975458e-05,6.967,80.767,1880.0,0.01,60
Nuwara Eliya Proper,2022-08-26,-3.319407071975458e-05,6.967,80.767,1880.0,0.0,60
Nuwara Eliya Proper,2022-08-27,-3.319407071975458e-05,6.967,80.767,1880.0,0.58,58
Nuwara Eliya Proper,2022-08-28,-3.319407071975458e-05,6.967,80.767,1880.0,0.07,59
Nuwara Eliya Proper,2022-08-29,-3.319407071975458e-05,6.967,80.767,1880.0,0.01,60
Nuwara Eliya Proper,2022-08-30,-3.319407071975458e-05,6.967,80.767,1880.0,0.0,60
Nuwara Eliya Proper,2022-08-31,-3.319407071975458e-05,6.967,80.767,1880.0,0.85,60
Nuwara Eliya Proper,2022-09-01,-3.319407071975458e-05,6.967,80.767,1880.0,0.7,58
Nuwara Eliya Proper,2022-09-02,-3.319407071975458e-05,6.967,80.767,1880.0,0.15,58
Nuwara Eliya Proper,2022-09-03,-3.2391002214194515e-05,6.967,80.767,1880.0,0.02,60
Nuwara Eliya Proper,2022-09-04,-3.2391002214194515e-05,6.967,80.767,1880.0,0.18,62
Nuwara Eliya Proper,2022-09-05,-3.2391002214194515e-05,6.967,80.767,1880.0,0.0,59
Nuwara Eliya Proper,2022-09-06,-3.2391002214194515e-05,6.967,80.767,1880.0,1.38,58
Nuwara Eliya Proper,2022-09-07,-3.2391002214194515e-05,6.967,80.767,1880.0,0.13,58
Nuwara Eliya Proper,2022-09-08,-3.2391002214194515e-05,6.967,80.767,1880.0,0.13,61
Nuwara Eliya Proper,2022-09-09,-3.2391002214194515e-05,6.967,80.767,1880.0,0.0,59
